Column	MinTPM	Weight	FantomID	FantomInfo
66	0.3060839	3.26708	CNhs13469	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Group%20A%20streptococci%2c%20donor1.CNhs13469.11864-125B1
67	0.320929	3.11595	CNhs13532	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Group%20A%20streptococci%2c%20donor2.CNhs13532.11874-125C2
68	0.6393371	1.56412	CNhs13492	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Group%20A%20streptococci%2c%20donor3.CNhs13492.11884-125D3
69	0.3298513	3.03167	CNhs13466	tpm.CD14%2b%20monocytes%20-%20treated%20with%20IFN%20%2b%20N-hexane%2c%20donor1.CNhs13466.11861-125A7
70	0.1994637	5.01344	CNhs13476	tpm.CD14%2b%20monocytes%20-%20treated%20with%20IFN%20%2b%20N-hexane%2c%20donor2.CNhs13476.11871-125B8
71	0.4262248	2.34618	CNhs13490	tpm.CD14%2b%20monocytes%20-%20treated%20with%20IFN%20%2b%20N-hexane%2c%20donor3.CNhs13490.11881-125C9
72	0.2902092	3.44579	CNhs13471	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Salmonella%2c%20donor1.CNhs13471.11866-125B3
73	0.5673852	1.76247	CNhs13485	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Salmonella%2c%20donor2.CNhs13485.11876-125C4
74	0.6228222	1.60559	CNhs13493	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Salmonella%2c%20donor3.CNhs13493.11886-125D5
75	0.2512487	3.98012	CNhs13467	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Trehalose%20dimycolate%20%28TDM%29%2c%20donor1.CNhs13467.11862-125A8
76	0.5214829	1.91761	CNhs13483	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Trehalose%20dimycolate%20%28TDM%29%2c%20donor2.CNhs13483.11872-125B9
77	0.2171888	4.60429	CNhs13544	tpm.CD14%2b%20monocytes%20-%20treated%20with%20Trehalose%20dimycolate%20%28TDM%29%2c%20donor3.CNhs13544.11882-125D1
78	0.6053995	1.6518	CNhs13470	tpm.CD14%2b%20monocytes%20-%20treated%20with%20lipopolysaccharide%2c%20donor1.CNhs13470.11865-125B2
79	0.3682776	2.71534	CNhs13533	tpm.CD14%2b%20monocytes%20-%20treated%20with%20lipopolysaccharide%2c%20donor2.CNhs13533.11875-125C3
80	0.3164624	3.15993	CNhs13545	tpm.CD14%2b%20monocytes%20-%20treated%20with%20lipopolysaccharide%2c%20donor3.CNhs13545.11885-125D4
81	0.2112553	4.73361	CNhs13541	tpm.CD14%2bCD16%2b%20Monocytes%2c%20donor1.CNhs13541.11789-124B7
82	0.2126043	4.70357	CNhs13208	tpm.CD14%2bCD16%2b%20Monocytes%2c%20donor2.CNhs13208.11801-124D1
83	0.2096586	4.76966	CNhs13549	tpm.CD14%2bCD16%2b%20Monocytes%2c%20donor3.CNhs13549.11912-125G4
84	0.1123286	8.90245	CNhs13224	tpm.CD14%2bCD16-%20Monocytes%2c%20donor1.CNhs13224.11788-124B6
85	0.1501769	6.65881	CNhs13216	tpm.CD14%2bCD16-%20Monocytes%2c%20donor2.CNhs13216.11799-124C8
86	0.1607256	6.22178	CNhs13540	tpm.CD14%2bCD16-%20Monocytes%2c%20donor3.CNhs13540.11910-125G2
87	0.2850127	3.50862	CNhs13229	tpm.CD14-CD16%2b%20Monocytes%2c%20donor1.CNhs13229.11790-124B8
88	0.1989167	5.02723	CNhs13207	tpm.CD14-CD16%2b%20Monocytes%2c%20donor2.CNhs13207.11800-124C9
89	0.1826642	5.47453	CNhs13548	tpm.CD14-CD16%2b%20Monocytes%2c%20donor3.CNhs13548.11911-125G3
90	1.759962	0.568194	CNhs12177	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation1.CNhs12177.12189-129B2
91	0.5461386	1.83104	CNhs12179	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation2.CNhs12179.12194-129B7
92	0.8895093	1.12422	CNhs12181	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation3.CNhs12181.12199-129C3
93	0.4267302	2.3434	CNhs12531	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090325%2c%20donation1.CNhs12531.12151-128F9
94	0.400396	2.49753	CNhs12175	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090325%2c%20donation2.CNhs12175.12174-128I5
95	0.5747524	1.73988	CNhs12183	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation1.CNhs12183.12204-129C8
96	0.6610449	1.51276	CNhs12185	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation2.CNhs12185.12209-129D4
97	0.9540538	1.04816	CNhs12188	tpm.CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation3.CNhs12188.12214-129D9
98	0.569213	1.75681	CNhs12343	tpm.CD19%2b%20B%20Cells%2c%20donor1.CNhs12343.11544-120B5
99	0.5872372	1.70289	CNhs12352	tpm.CD19%2b%20B%20Cells%2c%20donor2.CNhs12352.11624-122B4
100	0.3822732	2.61593	CNhs12354	tpm.CD19%2b%20B%20Cells%2c%20donor3.CNhs12354.11705-123B4
101	1.321713	0.756594	CNhs13227	tpm.CD34%2b%20Progenitors%2c%20donor1.CNhs13227.11545-120B6
102	0.5605086	1.78409	CNhs12205	tpm.CD34%2b%20Progenitors%2c%20donor2.CNhs12205.11625-122B5
103	0.2633841	3.79674	CNhs12588	tpm.CD34%2b%20stem%20cells%20-%20adult%20bone%20marrow%20derived%2c%20donor1%2c%20tech_rep1.CNhs12588.12225-129F2
104	0.1967098	5.08363	CNhs10853	tpm.CD4%2b%20T%20Cells%2c%20donor1.CNhs10853.11225-116C1
105	0.3930108	2.54446	CNhs11955	tpm.CD4%2b%20T%20Cells%2c%20donor2.CNhs11955.11306-117C1
106	0.2056015	4.86378	CNhs11998	tpm.CD4%2b%20T%20Cells%2c%20donor3.CNhs11998.11382-118B5
107	0.1671865	5.98134	CNhs13203	tpm.CD4%2bCD25%2bCD45RA%2b%20naive%20regulatory%20T%20cells%20expanded%2c%20donor1.CNhs13203.11793-124C2
108	0.3259223	3.06822	CNhs13238	tpm.CD4%2bCD25%2bCD45RA%2b%20naive%20regulatory%20T%20cells%2c%20donor1.CNhs13238.11780-124A7
109	0.4734478	2.11217	CNhs13235	tpm.CD4%2bCD25%2bCD45RA%2b%20naive%20regulatory%20T%20cells%2c%20donor2.CNhs13235.11796-124C5
110	1.948267	0.513277	CNhs13513	tpm.CD4%2bCD25%2bCD45RA%2b%20naive%20regulatory%20T%20cells%2c%20donor3.CNhs13513.11907-125F8
111	0.1114105	8.97581	CNhs13204	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%20expanded%2c%20donor1.CNhs13204.11794-124C3
112	0.2946059	3.39437	CNhs13195	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%2c%20donor1.CNhs13195.11782-124A9
113	0.2215339	4.51398	CNhs13206	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%2c%20donor2.CNhs13206.11797-124C6
114	0.2708039	3.69271	CNhs13538	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%2c%20donor3.CNhs13538.11908-125F9
115	0.1280913	7.80693	CNhs13811	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%20expanded%2c%20donor2.CNhs13811.11916-125G8
116	0.1300593	7.6888	CNhs13812	tpm.CD4%2bCD25%2bCD45RA-%20memory%20regulatory%20T%20cells%20expanded%2c%20donor3.CNhs13812.11920-125H3
117	0.1644379	6.08132	CNhs13813	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%20expanded%2c%20donor2.CNhs13813.11913-125G5
118	0.27635	3.6186	CNhs13814	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%20expanded%2c%20donor3.CNhs13814.11917-125G9
119	0.2898031	3.45062	CNhs13202	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%20expanded%2c%20donor1.CNhs13202.11791-124B9
120	0.1482866	6.7437	CNhs13223	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%2c%20donor1.CNhs13223.11784-124B2
121	0.2675408	3.73775	CNhs13205	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%2c%20donor2.CNhs13205.11795-124C4
122	1.045355	0.956613	CNhs13512	tpm.CD4%2bCD25-CD45RA%2b%20naive%20conventional%20T%20cells%2c%20donor3.CNhs13512.11906-125F7
123	0.1133093	8.8254	CNhs13215	tpm.CD4%2bCD25-CD45RA-%20memory%20conventional%20T%20cells%20expanded%2c%20donor1.CNhs13215.11792-124C1
124	0.3832205	2.60946	CNhs13239	tpm.CD4%2bCD25-CD45RA-%20memory%20conventional%20T%20cells%2c%20donor1.CNhs13239.11786-124B4
125	0.3436274	2.91013	CNhs13237	tpm.CD4%2bCD25-CD45RA-%20memory%20conventional%20T%20cells%2c%20donor2.CNhs13237.11798-124C7
126	0.2530197	3.95226	CNhs13539	tpm.CD4%2bCD25-CD45RA-%20memory%20conventional%20T%20cells%2c%20donor3.CNhs13539.11909-125G1
127	0.3185654	3.13907	CNhs12176	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation1.CNhs12176.12186-129A8
128	0.6510835	1.5359	CNhs12178	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation2.CNhs12178.12191-129B4
129	0.950452	1.05213	CNhs12180	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation3.CNhs12180.12196-129B9
130	0.1505751	6.6412	CNhs12201	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090325%2c%20donation1.CNhs12201.12148-128F6
131	0.1279866	7.81332	CNhs12199	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090325%2c%20donation2.CNhs12199.12171-128I2
132	1.249307	0.800444	CNhs12182	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation1.CNhs12182.12201-129C5
133	0.2367773	4.22338	CNhs12184	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation2.CNhs12184.12206-129D1
134	0.821128	1.21784	CNhs12187	tpm.CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation3.CNhs12187.12211-129D6
135	0.2016067	4.96015	CNhs10854	tpm.CD8%2b%20T%20Cells%2c%20donor1.CNhs10854.11226-116C2
136	0.2674402	3.73915	CNhs11956	tpm.CD8%2b%20T%20Cells%2c%20donor2.CNhs11956.11307-117C2
137	0.1448244	6.90491	CNhs11999	tpm.CD8%2b%20T%20Cells%2c%20donor3.CNhs11999.11383-118B6
138	2.438069	0.410161	CNhs12341	tpm.Cardiac%20Myocyte%2c%20donor1.CNhs12341.11525-119I4
139	0.6707009	1.49098	CNhs12350	tpm.Cardiac%20Myocyte%2c%20donor2.CNhs12350.11605-120I3
140	0.1278626	7.8209	CNhs12571	tpm.Cardiac%20Myocyte%2c%20donor3.CNhs12571.11686-122I3
141	0.3614392	2.76672	CNhs11923	tpm.Chondrocyte%20-%20de%20diff%2c%20donor1.CNhs11923.11261-116G1
142	0.5013379	1.99466	CNhs11372	tpm.Chondrocyte%20-%20de%20diff%2c%20donor2.CNhs11372.11338-117F6
143	0.1448465	6.90386	CNhs12020	tpm.Chondrocyte%20-%20de%20diff%2c%20donor3.CNhs12020.11410-118E6
144	0.7952859	1.25741	CNhs11373	tpm.Chondrocyte%20-%20re%20diff%2c%20donor2.CNhs11373.11339-117F7
145	0.4866349	2.05493	CNhs12021	tpm.Chondrocyte%20-%20re%20diff%2c%20donor3.CNhs12021.11411-118E7
146	0.09453482	10.5781	CNhs10871	tpm.Ciliary%20Epithelial%20Cells%2c%20donor1.CNhs10871.11242-116D9
147	0.2217294	4.51	CNhs11966	tpm.Ciliary%20Epithelial%20Cells%2c%20donor2.CNhs11966.11323-117D9
148	0.08783479	11.385	CNhs12009	tpm.Ciliary%20Epithelial%20Cells%2c%20donor3.CNhs12009.11399-118D4
149	0.06548954	15.2696	CNhs10608	tpm.Clontech%20Human%20Universal%20Reference%20Total%20RNA%2c%20pool1.CNhs10608.10000-101A1
150	0.3642953	2.74503	CNhs11336	tpm.Corneal%20Epithelial%20Cells%2c%20donor1.CNhs11336.11526-119I5
151	0.3707844	2.69699	CNhs12123	tpm.Corneal%20Epithelial%20Cells%2c%20donor3.CNhs12123.11687-122I4
152	0.3245474	3.08121	CNhs10855	tpm.Dendritic%20Cells%20-%20monocyte%20immature%20derived%2c%20donor1%2c%20tech_rep1.CNhs10855.11227-116C3
153	0.1741297	5.74285	CNhs11062	tpm.Dendritic%20Cells%20-%20monocyte%20immature%20derived%2c%20donor1%2c%20tech_rep2.CNhs11062.11227-116C3
154	0.132958	7.52117	CNhs12000	tpm.Dendritic%20Cells%20-%20monocyte%20immature%20derived%2c%20donor3.CNhs12000.11384-118B7
155	0.2384906	4.19304	CNhs10857	tpm.Dendritic%20Cells%20-%20plasmacytoid%2c%20donor1.CNhs10857.11228-116C4
156	0.5719949	1.74827	CNhs12196	tpm.Dendritic%20Cells%20-%20plasmacytoid%2c%20donor2.CNhs12196.11309-117C4
157	0.3714575	2.6921	CNhs12200	tpm.Dendritic%20Cells%20-%20plasmacytoid%2c%20donor3.CNhs12200.11385-118B8
158	0.1987624	5.03113	CNhs10837	tpm.Endothelial%20Cells%20-%20Aortic%2c%20donor0.CNhs10837.11207-116A1
159	0.8602346	1.16247	CNhs12495	tpm.Endothelial%20Cells%20-%20Aortic%2c%20donor1.CNhs12495.11263-116G3
160	0.3471405	2.88068	CNhs11375	tpm.Endothelial%20Cells%20-%20Aortic%2c%20donor2.CNhs11375.11340-117F8
161	0.5653079	1.76895	CNhs12022	tpm.Endothelial%20Cells%20-%20Aortic%2c%20donor3.CNhs12022.11412-118E8
162	0.4194994	2.38379	CNhs12496	tpm.Endothelial%20Cells%20-%20Artery%2c%20donor1.CNhs12496.11264-116G4
163	0.275118	3.6348	CNhs11977	tpm.Endothelial%20Cells%20-%20Artery%2c%20donor2.CNhs11977.11341-117F9
164	0.208995	4.7848	CNhs12023	tpm.Endothelial%20Cells%20-%20Artery%2c%20donor3.CNhs12023.11413-118E9
165	0.2584168	3.86972	CNhs10865	tpm.Endothelial%20Cells%20-%20Lymphatic%2c%20donor1.CNhs10865.11236-116D3
166	0.3557663	2.81083	CNhs11901	tpm.Endothelial%20Cells%20-%20Lymphatic%2c%20donor2.CNhs11901.11317-117D3
167	0.3347206	2.98757	CNhs11906	tpm.Endothelial%20Cells%20-%20Lymphatic%2c%20donor3.CNhs11906.11393-118C7
168	0.4028293	2.48244	CNhs11925	tpm.Endothelial%20Cells%20-%20Microvascular%2c%20donor1.CNhs11925.11265-116G5
169	0.7602721	1.31532	CNhs11376	tpm.Endothelial%20Cells%20-%20Microvascular%2c%20donor2.CNhs11376.11342-117G1
170	0.2440621	4.09732	CNhs12024	tpm.Endothelial%20Cells%20-%20Microvascular%2c%20donor3.CNhs12024.11414-118F1
171	0.3676631	2.71988	CNhs11926	tpm.Endothelial%20Cells%20-%20Thoracic%2c%20donor1.CNhs11926.11266-116G6
172	0.8101419	1.23435	CNhs11978	tpm.Endothelial%20Cells%20-%20Thoracic%2c%20donor2.CNhs11978.11343-117G2
173	0.08929973	11.1982	CNhs10872	tpm.Endothelial%20Cells%20-%20Umbilical%20vein%2c%20donor1.CNhs10872.11243-116E1
174	0.2245294	4.45376	CNhs11967	tpm.Endothelial%20Cells%20-%20Umbilical%20vein%2c%20donor2.CNhs11967.11324-117E1
175	0.1126115	8.88009	CNhs12010	tpm.Endothelial%20Cells%20-%20Umbilical%20vein%2c%20donor3.CNhs12010.11400-118D5
176	1.533166	0.652245	CNhs12497	tpm.Endothelial%20Cells%20-%20Vein%2c%20donor1.CNhs12497.11267-116G7
177	0.9492657	1.05345	CNhs11377	tpm.Endothelial%20Cells%20-%20Vein%2c%20donor2.CNhs11377.11344-117G3
178	0.1832017	5.45846	CNhs12026	tpm.Endothelial%20Cells%20-%20Vein%2c%20donor3.CNhs12026.11416-118F3
179	1.317804	0.758838	CNhs12548	tpm.Eosinophils%2c%20donor2.CNhs12548.12245-129H4
180	3.877803	0.257878	CNhs12549	tpm.Eosinophils%2c%20donor3.CNhs12549.12246-129H5
181	0.4360941	2.29308	CNhs11323	tpm.Esophageal%20Epithelial%20Cells%2c%20donor1.CNhs11323.11507-119G4
182	0.496972	2.01219	CNhs11836	tpm.Ewing%27s%20sarcoma%20cell%20line%3aHs%20863%2eT.CNhs11836.10705-109H3
183	0.1266305	7.89699	CNhs10874	tpm.Fibroblast%20-%20Aortic%20Adventitial%2c%20donor1.CNhs10874.11245-116E3
184	0.1324092	7.55235	CNhs12581	tpm.Fibroblast%20-%20Aortic%20Adventitial%2c%20donor2%20%28nuclear%20fraction%29.CNhs12581.14332-155F3
185	0.2868366	3.48631	CNhs12400	tpm.Fibroblast%20-%20Aortic%20Adventitial%2c%20donor3%20%28nuclear%20fraction%29.CNhs12400.14311-155C9
186	0.3546684	2.81954	CNhs12011	tpm.Fibroblast%20-%20Aortic%20Adventitial%2c%20donor3.CNhs12011.11401-118D6
187	0.5606776	1.78356	CNhs12498	tpm.Fibroblast%20-%20Cardiac%2c%20donor1.CNhs12498.11268-116G8
188	1.06749	0.936777	CNhs11378	tpm.Fibroblast%20-%20Cardiac%2c%20donor2.CNhs11378.11345-117G4
189	0.2466675	4.05404	CNhs12027	tpm.Fibroblast%20-%20Cardiac%2c%20donor3.CNhs12027.11417-118F4
190	0.311211	3.21325	CNhs11909	tpm.Fibroblast%20-%20Cardiac%2c%20donor4.CNhs11909.11452-119A3
191	0.1347107	7.42332	CNhs12057	tpm.Fibroblast%20-%20Cardiac%2c%20donor5.CNhs12057.11456-119A7
192	0.1634619	6.11763	CNhs12061	tpm.Fibroblast%20-%20Cardiac%2c%20donor6.CNhs12061.11460-119B2
193	0.1513574	6.60688	CNhs11319	tpm.Fibroblast%20-%20Choroid%20Plexus%2c%20donor1.CNhs11319.11492-119E7
194	0.5761759	1.73558	CNhs12344	tpm.Fibroblast%20-%20Choroid%20Plexus%2c%20donor2.CNhs12344.11572-120E6
195	0.2343214	4.26764	CNhs11339	tpm.Fibroblast%20-%20Conjunctival%2c%20donor1.CNhs11339.11531-120A1
196	0.3121601	3.20348	CNhs12499	tpm.Fibroblast%20-%20Dermal%2c%20donor1.CNhs12499.11269-116G9
197	0.5704718	1.75294	CNhs11379	tpm.Fibroblast%20-%20Dermal%2c%20donor2.CNhs11379.11346-117G5
198	0.1494487	6.69126	CNhs12028	tpm.Fibroblast%20-%20Dermal%2c%20donor3.CNhs12028.11418-118F5
199	0.1174345	8.51539	CNhs12052	tpm.Fibroblast%20-%20Dermal%2c%20donor4.CNhs12052.11450-119A1
200	0.1618729	6.17769	CNhs12055	tpm.Fibroblast%20-%20Dermal%2c%20donor5.CNhs12055.11454-119A5
201	0.1404508	7.11993	CNhs12059	tpm.Fibroblast%20-%20Dermal%2c%20donor6.CNhs12059.11458-119A9
202	0.2041542	4.89826	CNhs10866	tpm.Fibroblast%20-%20Gingival%2c%20donor1.CNhs10866.11237-116D4
